Iniciativa,Ring,quadrant,isNew,status,description
Computación Espacial,Emergente,Aceleración en adopción tecnológica,TRUE,new,En un entorno informático que combina objetos físicos y digitales en un marco de referencia compartido
Base de datos vectorial escalable,Pilotaje/Prototipo,Integración de tecnologías emergentes en procesos,TRUE,new,proporcionan capacidad de búsqueda vectorial y se utilizan junto con los LLM para aplicar la capacidad del modelo a responder a las búsquedas con información personalizada o específica de una empresa o dominio.
Aplicaciones Inteligentes,Escalado/Adopción Temprana,Competencia basada en capacidades tecnológicas,TRUE,new,Utilizan una o varias técnicas de IA para aprender de diversas fuentes de datos externas y alternativas.
Asistentes virtuales IA generativa,Implantada,Redefinición de modelos de negocio,TRUE,new,Representan una nueva generación de asistentes que aprovechan los grandes modelos de lenguaje (LLM, por sus siglas en inglés) para mejorar su funcionalidad.
Aprendizaje autosupervisado,Pilotaje/Prototipo,Integración de tecnologías emergentes en procesos,TRUE,new,es un enfoque del machine learning (ML) en el que se generan datos etiquetados a partir de los propios datos, sin depender de datos de resultados históricos ni de supervisores humanos que proporcionen etiquetas o comentarios.
UAV autónomos,Escalado/Adopción Temprana,Competencia basada en capacidades tecnológicas,TRUE,new,son máquinas voladoras autónomas utilizadas principalmente para inspeccionar activos, aunque también están ganando popularidad para la entrega de pequeños paquetes.
Datos sintéticos creados por IA,Escalado/Adopción Temprana,Aceleración en adopción tecnológica,TRUE,new,se generan artificialmente en lugar de recopilarse de eventos del mundo real.
IA Generativa,Implantada,Integración de tecnologías emergentes en procesos,TRUE,new,describe las tecnologías que pueden generar nuevas versiones derivadas de contenidos, estrategias, diseños y métodos al aprender de grandes repositorios de contenidos fuente originales.
Computación Espacial,Emergente,Aceleración en adopción tecnológica,TRUE,new,es un entorno informático que combina objetos físicos y digitales en un marco de referencia compartido
Avatares de la IA,Emergente,Integración de tecnologías emergentes en procesos,TRUE,new,son personajes virtuales con apariencia humana, creados mediante imágenes generadas por ordenador y diversas técnicas y aplicaciones de IA.
Espacios Inteligentes,Pilotaje/Prototipo,Competencia basada en capacidades tecnológicas,TRUE,new,son entornos físicos en los que los humanos y los sistemas de base tecnológica interactúan en unos ecosistemas cada vez más abiertos, conectados, coordinados e inteligentes.
Gemelos Digitales,Escalado/Adopción Temprana,Integración de tecnologías emergentes en procesos,TRUE,new,son réplicas de base tecnológica que generan una representación digital duplicada del estado de unidades o conjuntos de activos, procesos, personas u organizaciones (físicos o virtuales).
IU multimodal,Escalado/Adopción Temprana,Aceleración en adopción tecnológica,TRUE,new,se refieren a modelos en los que el usuario y la máquina pueden interactuar de forma simultánea.
Computación neuromórfica,Emergente,Aceleración en adopción tecnológica,TRUE,new,es un enfoque de ingeniería en el que los componentes de un ordenador se diseñan para imitar las funciones cerebrales y del sistema nervioso humanos.
Procesador cuántico,Emergente,Redefinición de modelos de negocio,TRUE,new,Con chips que constan de qubits (o bits cuánticos), el equivalente de los bits de la computación clásica.
5G privada,Escalado/Adopción Temprana,Aceleración en adopción tecnológica,TRUE,new,se basa en la tecnología y el espectro del 3GPP para ofrecer conectividad, servicios optimizados y seguridad a las empresas.
Base de datos vectorial escalable,Pilotaje/Prototipo,Integración de tecnologías emergentes en procesos,TRUE,new,proporcionan capacidad de búsqueda vectorial y se utilizan junto con los LLM para aplicar la capacidad del modelo a responder a las búsquedas con información personalizada o específica de una empresa o dominio.
Blockchain,Implantada,Redefinición de modelos de negocio,TRUE,new,se refiere a un grupo de tecnologías centradas en la distribución entre profesionales, la descentralización, la inmutabilidad, el cifrado y la tokenización.
Edge computing de hiperescala,Escalado/Adopción Temprana,Redefinición de modelos de negocio,TRUE,new,se refiere a una solución que se extiende desde la nube pública hasta el perímetro de la red, en una plataforma de nube distribuida, gestionada y controlada a través de un servicio de nube pública a gran escala.
Chips de IA,Escalado/Adopción Temprana,Aceleración en adopción tecnológica,TRUE,new,son un tipo de dispositivo semiconductor optimizado para procesar redes neuronales profundas.
Megaconstelaciones de satélites LEO,Pilotaje/Prototipo,Aceleración en adopción tecnológica,TRUE,new, tienen el potencial de proporcionar comunicaciones globales y acceso a Internet con una latencia y velocidad comparables a la conectividad básica por cable.
Análisis de comportamientos,Pilotaje/Prototipo,Aceleración en adopción tecnológica,TRUE,new,se refiere a las capacidades de seguimiento de sesiones que supervisan las interacciones de los usuarios con un servicio protegido para construir modelos de confianza que permitan distinguir entre estafadores, usuarios de confianza y bots.
Identidad descentralizada,Pilotaje/Prototipo,Aceleración en adopción tecnológica,TRUE,new,o los sistemas asociados de identidad autosoberana (SSI, por sus siglas en inglés) tienen como objetivo abordar los retos de privacidad y transparencia que plantean los sistemas de identidad tradicionales.
Tecnologías de mejora de la privacidad,Escalado/Adopción Temprana,Aceleración en adopción tecnológica,TRUE,new,son un conjunto de enfoques sólidos que permiten tratar la información y, al mismo tiempo, proteger los datos personales subyacentes.
IA responsable,Escalado/Adopción Temprana,Integración de tecnologías emergentes en procesos,TRUE,new,es un término que engloba muchos aspectos de la toma de decisiones empresariales y éticas correctas cuando una organización adopta la IA.
IA centrada en personas,Escalado/Adopción Temprana,Integración de tecnologías emergentes en procesos,TRUE,new,es un principio común de diseño en la IA que requiere que esta tecnología se beneficie continuamente de la contribución humana.
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
